Signal,Date,Close Price,Shares Bought,Profit/Loss,Investment,Remaining Cash,Hold,Total Cash,SMA1,SMA2,Percentage Difference,Highest Average Percentage,Lowest Average Percentage,Charge,Charge Value,% Diff,High Avg %,Low Avg %
Short Sell,2024-04-23 11:30:00-04:00,191.712204,514,-34.8465271,98540.07285,71.56538391,Sell Hold,98576.7917,12,17,-0.035350297,0.415911286,0.962810701,,,-0.035350297,0.415911286,0.962810701
Short Sell,2024-04-23 12:30:00-04:00,192.0800018,513,-3.031906128,98537.04094,39.75076294,Sell Hold,98573.7598,12,17,-0.003076826,0.415911286,0.962810701,,,-0.003076826,0.415911286,0.962810701
Short Sell,2024-04-23 13:30:00-04:00,191.7700043,514,32.74125671,98569.7822,3.977600098,Sell Hold,98606.50105,12,17,0.033227359,0.415911286,0.962810701,,,0.033227359,0.415911286,0.962810701
Short Sell,2024-04-23 14:30:00-04:00,191.6300049,514,-71.95968628,98497.82251,108.6785431,Sell Hold,98534.54137,12,17,-0.0730038,0.415911286,0.962810701,,,-0.0730038,0.415911286,0.962810701
Short Sell,2024-04-23 15:30:00-04:00,192.1399994,512,-122.1428223,98375.67969,158.8616791,Sell Hold,98412.39854,12,17,-0.124005607,0.415911286,0.962810701,,,-0.124005607,0.415911286,0.962810701
Short Sell,2024-04-24 09:30:00-04:00,192.2498932,511,-135.9842682,98239.69542,172.703125,Sell Hold,98276.41428,12,17,-0.138229559,0.415911286,0.962810701,,,-0.138229559,0.415911286,0.962810701
Short Sell,2024-04-24 10:30:00-04:00,191.0549927,514,-37.42918396,98202.26624,74.14804077,Sell Hold,98238.98509,12,17,-0.038099857,0.415911286,0.962810701,,,-0.038099857,0.415911286,0.962810701
Short Sell,2024-04-24 11:30:00-04:00,190.9900055,514,-33.40341187,98168.86282,70.12226868,Sell Hold,98205.58168,12,17,-0.034014909,0.415911286,0.962810701,,,-0.034014909,0.415911286,0.962810701
Short Sell,2024-04-24 12:30:00-04:00,191.9949951,511,-59.4203186,98109.4425,96.13917542,Sell Hold,98146.16136,12,17,-0.060528682,0.415911286,0.962810701,,,-0.060528682,0.415911286,0.962810701
Short Sell,2024-04-24 13:30:00-04:00,192.4799957,509,-137.1246796,97972.31783,173.8435364,Sell Hold,98009.03668,12,17,-0.139767056,0.415911286,0.962810701,,,-0.139767056,0.415911286,0.962810701
Short Sell,2024-04-24 14:30:00-04:00,192.9299927,508,36.11845398,98008.43628,0.600402832,Sell Hold,98045.15514,12,17,0.036865979,0.415911286,0.962810701,,,0.036865979,0.415911286,0.962810701
Short Sell,2024-04-24 15:30:00-04:00,193.0399933,507,-137.1596832,97871.2766,173.87854,Sell Hold,97907.99545,12,17,-0.139946813,0.415911286,0.962810701,,,-0.139946813,0.415911286,0.962810701
Short Sell,2024-04-25 09:30:00-04:00,192.4100037,508,-126.9947357,97744.28186,163.7135925,Sell Hold,97781.00072,12,17,-0.129756901,0.415911286,0.962810701,,,-0.129756901,0.415911286,0.962810701
Short Sell,2024-04-25 10:30:00-04:00,193.1699982,506,-0.262786865,97744.01907,36.98164368,Sell Hold,97780.73793,12,17,-0.000268851,0.415911286,0.962810701,,,-0.000268851,0.415911286,0.962810701
Short Sell,2024-04-25 11:30:00-04:00,193.6199951,505,34.07846069,97778.09753,2.640396118,Sell Hold,97814.81639,12,17,0.034865009,0.415911286,0.962810701,,,0.034865009,0.415911286,0.962810701
Short Sell,2024-04-25 12:30:00-04:00,193.2799988,506,21.58184814,97799.67938,15.13700867,Sell Hold,97836.39824,12,17,0.022072273,0.415911286,0.962810701,,,0.022072273,0.415911286,0.962810701
Short Sell,2024-04-25 13:30:00-04:00,192.7100067,507,-95.70597839,97703.9734,132.4248352,Sell Hold,97740.69226,12,17,-0.097859194,0.415911286,0.962810701,,,-0.097859194,0.415911286,0.962810701
Short Sell,2024-04-25 14:30:00-04:00,193.3099976,505,-82.42463684,97621.54877,119.1434937,Sell Hold,97658.26762,12,17,-0.084361602,0.415911286,0.962810701,,,-0.084361602,0.415911286,0.962810701
Short Sell,2024-04-25 15:30:00-04:00,193.3800049,505,35.35369873,97656.90247,1.365158081,Sell Hold,97693.62132,12,17,0.036215056,0.415911286,0.962810701,,,0.036215056,0.415911286,0.962810701
Short Sell,2024-04-26 09:30:00-04:00,194.1600037,503,5.579376221,97662.48184,31.13948059,Sell Hold,97699.2007,12,17,0.005713243,0.415911286,0.962810701,,,0.005713243,0.415911286,0.962810701
Short Sell,2024-04-26 10:30:00-04:00,193.2958069,505,-48.09936523,97614.38248,84.81822205,Sell Hold,97651.10133,12,17,-0.049250607,0.415911286,0.962810701,,,-0.049250607,0.415911286,0.962810701
Short Sell,2024-04-26 11:30:00-04:00,193.9600067,503,-52.49909973,97561.88338,89.21795654,Sell Hold,97598.60223,12,17,-0.053782136,0.415911286,0.962810701,,,-0.053782136,0.415911286,0.962810701
Short Sell,2024-04-26 12:30:00-04:00,194.050705,502,-148.4294891,97413.45389,185.1483459,Sell Hold,97450.17274,12,17,-0.152138811,0.415911286,0.962810701,,,-0.152138811,0.415911286,0.962810701
Short Sell,2024-04-26 13:30:00-04:00,194.3899994,501,-24.06419373,97389.38969,60.78305054,Sell Hold,97426.10855,12,17,-0.024703152,0.415911286,0.962810701,,,-0.024703152,0.415911286,0.962810701
Short Sell,2024-04-26 14:30:00-04:00,194.3099976,501,-40.08091736,97349.30878,76.79977417,Sell Hold,97386.02763,12,17,-0.041155322,0.415911286,0.962810701,,,-0.041155322,0.415911286,0.962810701
Short Sell,2024-04-26 15:30:00-04:00,193.4900055,503,-23.83601379,97325.47276,60.55487061,Sell Hold,97362.19162,12,17,-0.024485037,0.415911286,0.962810701,,,-0.024485037,0.415911286,0.962810701
Short Sell,2024-04-29 09:30:00-04:00,193.6600037,502,-108.1509247,97217.32184,144.8697815,Sell Hold,97254.0407,12,17,-0.111122938,0.415911286,0.962810701,,,-0.111122938,0.415911286,0.962810701
Short Sell,2024-04-29 10:30:00-04:00,193.8899994,501,-78.43214417,97138.88969,115.151001,Sell Hold,97175.60855,12,17,-0.080677129,0.415911286,0.962810701,,,-0.080677129,0.415911286,0.962810701
Short Sell,2024-04-29 11:30:00-04:00,193.5549927,502,25.71662903,97164.60632,11.00222778,Sell Hold,97201.32518,12,17,0.026474082,0.415911286,0.962810701,,,0.026474082,0.415911286,0.962810701
Short Sell,2024-04-29 12:30:00-04:00,193.5599976,502,2.512451172,97167.11877,34.20640564,Sell Hold,97203.83763,12,17,0.002585768,0.415911286,0.962810701,,,0.002585768,0.415911286,0.962810701
Short Sell,2024-04-29 13:30:00-04:00,193.6199951,502,30.11877441,97197.23755,6.600082397,Sell Hold,97233.95641,12,17,0.030996879,0.415911286,0.962810701,,,0.030996879,0.415911286,0.962810701
Short Sell,2024-04-29 14:30:00-04:00,192.8950043,504,21.84460449,97219.08215,14.87425232,Sell Hold,97255.80101,12,17,0.022474512,0.415911286,0.962810701,,,0.022474512,0.415911286,0.962810701
Short Sell,2024-04-29 15:30:00-04:00,193.2899933,503,5.784469604,97224.86662,30.93438721,Sell Hold,97261.58548,12,17,0.005949932,0.415911286,0.962810701,,,0.005949932,0.415911286,0.962810701
Short Sell,2024-04-30 09:30:00-04:00,194.1699982,500,-139.8675385,97084.99908,176.5863953,Sell Hold,97121.71794,12,17,-0.143859841,0.415911286,0.962810701,,,-0.143859841,0.415911286,0.962810701
