Signal,Date,Close Price,Shares Bought,Profit/Loss,Investment,Remaining Cash,Hold,Total Cash,SMA1,SMA2,Percentage Difference,Highest Average Percentage,Lowest Average Percentage
Buy Hold,2024-04-12 09:30:00-04:00,185.58999633789065,274,-2660.541839599602,50851.65899658204,51.34617614746094,Buy Hold,104453.5658416748,12,17,90.05631688465067,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-12 10:30:00-04:00,184.49989318847656,274,-298.6882629394604,50552.97073364258,51.34617614746094,Buy Hold,104154.87757873535,12,17,98.82525656455167,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-12 11:30:00-04:00,184.88999938964844,274,106.88909912109375,50659.85983276367,51.34617614746094,Buy Hold,104261.76667785645,12,17,100.42287959567908,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-12 12:30:00-04:00,183.8600006103516,274,-282.2196655273365,50377.640167236335,51.34617614746094,Buy Hold,103979.5470123291,12,17,98.88582532024765,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-12 13:30:00-04:00,184.3300018310547,274,128.78033447264897,50506.420501708984,51.34617614746094,Buy Hold,104108.32734680176,12,17,100.51125989246475,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-12 14:30:00-04:00,183.4499969482422,274,-241.121337890625,50265.29916381836,51.34617614746094,Buy Hold,103867.20600891113,12,17,99.04518540219073,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-12 15:30:00-04:00,182.8350067138672,274,-168.50732421875,50096.79183959961,51.34617614746094,Buy Hold,103698.69868469238,12,17,99.32952821520242,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-15 09:30:00-04:00,186.1199951171875,274,900.0868225097656,50996.878662109375,51.34617614746094,Buy Hold,104598.78550720215,12,17,103.59339107139508,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-15 10:30:00-04:00,184.05999755859372,274,-564.4393310546948,50432.43933105468,51.34617614746094,Buy Hold,104034.34617614746,12,17,97.78637694752065,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-15 11:30:00-04:00,184.6750030517578,274,168.5115051269604,50600.95083618164,51.34617614746094,Buy Hold,104202.85768127441,12,17,100.66826632763409,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-15 12:30:00-04:00,183.1499938964844,274,-417.8525085449146,50183.098327636726,51.34617614746094,Buy Hold,103785.00517272949,12,17,98.34844009197494,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-15 13:30:00-04:00,182.4300994873047,274,-197.25106811524165,49985.847259521484,51.34617614746094,Buy Hold,103587.75410461426,12,17,99.21387449285243,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-15 14:30:00-04:00,182.6150054931641,274,50.664245605476026,50036.51150512696,51.34617614746094,Buy Hold,103638.41835021973,12,17,100.20271436169692,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-15 15:30:00-04:00,182.88999938964844,274,75.34832763671147,50111.85983276367,51.34617614746094,Buy Hold,103713.76667785645,12,17,100.30117338467528,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-16 09:30:00-04:00,180.07000732421875,274,-772.6778259277344,49339.18200683594,51.34617614746094,Buy Hold,102941.08885192871,12,17,96.91618779064932,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-16 10:30:00-04:00,180.3800048828125,274,84.9393310546875,49424.121337890625,51.34617614746094,Buy Hold,103026.0281829834,12,17,100.34430782027522,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-16 11:30:00-04:00,180.3699951171875,274,-2.74267578125,49421.378662109375,51.34617614746094,Buy Hold,103023.28550720215,12,17,99.98890146872823,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-16 12:30:00-04:00,180.55999755859372,274,52.060668945305224,49473.43933105468,51.34617614746094,Buy Hold,103075.34617614746,12,17,100.21068076348598,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-16 13:30:00-04:00,180.4499969482422,274,-30.14016723632085,49443.29916381836,51.34617614746094,Buy Hold,103045.20600891113,12,17,99.87815616765742,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-16 14:30:00-04:00,181.88999938964844,274,394.5606689453125,49837.85983276367,51.34617614746094,Buy Hold,103439.76667785645,12,17,101.59601270796284,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-16 15:30:00-04:00,180.7400054931641,274,-315.0983276367115,49522.76150512696,51.34617614746094,Buy Hold,103124.66835021973,12,17,98.73550618467942,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-17 09:30:00-04:00,180.77999877929688,274,10.958160400383349,49533.719665527344,51.34617614746094,Buy Hold,103135.62651062012,12,17,100.04425504583077,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-17 10:30:00-04:00,179.85000610351562,274,-254.8179931640625,49278.90167236328,51.34617614746094,Buy Hold,102880.80851745605,12,17,98.97113322042156,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-17 11:30:00-04:00,180.1499938964844,274,82.19665527344478,49361.098327636726,51.34617614746094,Buy Hold,102963.00517272949,12,17,100.33359775678417,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-17 12:30:00-04:00,180.6199951171875,274,128.78033447264897,49489.878662109375,51.34617614746094,Buy Hold,103091.78550720215,12,17,100.52178877227516,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-17 13:30:00-04:00,180.83999633789065,274,60.280334472663526,49550.15899658204,51.34617614746094,Buy Hold,103152.0658416748,12,17,100.2436067175845,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-17 14:30:00-04:00,180.1499938964844,274,-189.0606689453125,49361.098327636726,51.34617614746094,Buy Hold,102963.00517272949,12,17,99.23689177684228,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-17 15:30:00-04:00,179.97000122070312,274,-49.317993164069776,49311.780334472656,51.34617614746094,Buy Hold,102913.68717956543,12,17,99.8001746523681,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-18 09:30:00-04:00,182.38999938964844,274,663.0794982910156,49974.85983276367,51.34617614746094,Buy Hold,103576.76667785645,12,17,102.68933505865523,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-18 10:30:00-04:00,183.02999877929688,274,175.35983276367188,50150.219665527344,51.34617614746094,Buy Hold,103752.12651062012,12,17,100.70179219451735,0.4159112860771303,0.9628107010875327
Sell,2024-04-18 10:30:00-04:00,183.02999877929688,0,0.0,0.0,103752.12651062012,Sell Hold,103752.12651062012,12,17,,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-18 10:30:00-04:00,183.02999877929688,546,0.0,99934.3793334961,36.71885681152344,Sell Hold,99971.09819030762,12,17,0.0,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-18 11:30:00-04:00,182.4149932861328,548,29.0369873046875,99963.41632080078,7.6818695068359375,Sell Hold,100000.1351776123,12,17,0.02905605408103521,0.4159112860771303,0.9628107010875327
