Signal,Start Close Price,Start Date,End Close Price,End Date,Start Investment,End Investment,Profit/Loss,Highest Investment,Lowest Investment,Highest Percentage,Lowest Percentage
Buy - Sell,1312.949951171875,2023-05-30 10:15:00+05:30,1329.449951171875,2023-05-31 09:15:00+05:30,90593.54663085938,91732.04663085938,1138.5,91266.29663085938,90593.54663085938,0.7426025638903925,0.0
Short Sell - Buy,1523.75,2023-01-16 15:15:00+05:30,1320.5,2023-06-01 15:15:00+05:30,100567.5,89712.4033203125,10855.0966796875,103125.0,79320.79858398438,0.0,21.126806787496584
Buy - Sell,1320.5,2023-06-01 15:15:00+05:30,1287.199951171875,2023-06-08 10:15:00+05:30,89794.0,87529.5966796875,-2264.4033203125,89794.0,86710.20166015625,0.0,0.0
Short Sell - Buy,1536.699951171875,2023-01-17 09:15:00+05:30,1265.550048828125,2023-06-09 10:15:00+05:30,101422.19677734376,87581.70336914062,13840.49340820314,103125.0,79320.79858398438,0.0,21.791480460514457
Buy - Sell,1265.550048828125,2023-06-09 10:15:00+05:30,1292.949951171875,2023-06-12 15:15:00+05:30,87322.95336914062,89213.54663085938,1890.59326171875,89337.75,87285.0,2.3072932752769115,0.0
Short Sell - Buy,1533.9000244140625,2023-01-17 10:15:00+05:30,1286.25,2023-06-15 10:15:00+05:30,101237.40161132812,87543.20166015625,13694.199951171875,103125.0,79320.79858398438,0.0,21.648721399909334
Buy - Sell,1286.25,2023-06-15 10:15:00+05:30,1293.75,2023-06-19 11:15:00+05:30,87465.0,87975.0,510.0,87856.0,87264.4033203125,0.44703595724003886,0.0
Short Sell - Buy,1536.949951171875,2023-01-17 11:15:00+05:30,1281.5,2023-06-22 11:15:00+05:30,101438.69677734376,98679.35375976562,2759.3430175781396,103125.0,79320.79858398438,0.0,21.804201844102753
Buy - Sell,1281.5,2023-06-22 11:15:00+05:30,1277.550048828125,2023-06-27 12:15:00+05:30,98675.5,98371.35375976562,-304.146240234375,98918.0518798828,97405.0,0.2458076015655334,0.0
Short Sell - Buy,1534.949951171875,2023-01-17 12:15:00+05:30,1341.9000244140625,2023-07-07 09:15:00+05:30,101306.69677734376,87282.00317382812,14024.69360351564,103125.0,79320.79858398438,0.0,21.702314745964866
Buy - Sell,1341.9000244140625,2023-07-07 09:15:00+05:30,1345.550048828125,2023-07-11 11:15:00+05:30,87223.50158691406,87460.75317382812,237.2515869140625,87425.0,86047.00317382812,0.2310139004052181,0.0
Short Sell - Buy,1536.4000244140625,2023-01-17 13:15:00+05:30,1375.449951171875,2023-07-13 11:15:00+05:30,101402.40161132812,76678.0,24724.401611328125,103125.0,75649.74731445312,0.0,25.396493463324493
Buy - Sell,1375.449951171875,2023-07-13 11:15:00+05:30,1367.050048828125,2023-07-13 12:15:00+05:30,75649.74731445312,75187.75268554688,-461.99462890625,75649.74731445312,75649.74731445312,0.0,0.0
Short Sell - Buy,1539.8499755859375,2023-01-17 14:15:00+05:30,1447.0999755859375,2023-07-20 13:15:00+05:30,101630.09838867188,75285.6025390625,26344.495849609375,103125.0,74497.49755859375,0.0,26.697406831500658
