Signal,Date,Close Price,Shares Bought,Profit/Loss,Investment,Remaining Cash,Hold,Total Cash,SMA1,SMA2,Percentage Difference,Highest Average Percentage,Lowest Average Percentage,Charge,Charge Value,% Diff,High Avg %,Low Avg %
Short Sell,2024-06-06 10:30:00-04:00,652.2999878,158,78.46038818,103063.3981,80.40332031,Sell Hold,103222.2618,12,17,0.076186275,0.498866494,3.49226357,,,0.076186275,0.498866494,3.49226357
Short Sell,2024-06-06 11:30:00-04:00,651.8099976,158,-77.41845703,102985.9796,236.2821655,Sell Hold,103144.8433,12,17,-0.075117315,0.498866494,3.49226357,,,-0.075117315,0.498866494,3.49226357
Short Sell,2024-06-06 12:30:00-04:00,654.8699951,157,-171.3903809,102814.5892,330.2540894,Sell Hold,102973.4529,12,17,-0.166421081,0.498866494,3.49226357,,,-0.166421081,0.498866494,3.49226357
Short Sell,2024-06-06 13:30:00-04:00,651.5,158,122.4107666,102937,36.45294189,Sell Hold,103095.8637,12,17,0.119059724,0.498866494,3.49226357,,,0.119059724,0.498866494,3.49226357
Short Sell,2024-06-06 14:30:00-04:00,647.9099731,159,80.68572998,103017.6857,78.17797852,Sell Hold,103176.5494,12,17,0.078383604,0.498866494,3.49226357,,,0.078383604,0.498866494,3.49226357
Short Sell,2024-06-06 15:30:00-04:00,648.375,159,73.93927002,103091.625,84.92443848,Sell Hold,103250.4887,12,17,0.071773375,0.498866494,3.49226357,,,0.071773375,0.498866494,3.49226357
Short Sell,2024-06-07 09:30:00-04:00,643.0349731,160,-206.0292969,102885.5957,364.8930054,Sell Hold,103044.4594,12,17,-0.199850664,0.498866494,3.49226357,,,-0.199850664,0.498866494,3.49226357
Short Sell,2024-06-07 10:30:00-04:00,644.8900146,159,-348.083374,102537.5123,506.9470825,Sell Hold,102696.376,12,17,-0.338320803,0.498866494,3.49226357,,,-0.338320803,0.498866494,3.49226357
Short Sell,2024-06-07 11:30:00-04:00,648.0999756,158,-137.7161865,102399.7961,296.579895,Sell Hold,102558.6599,12,17,-0.134308102,0.498866494,3.49226357,,,-0.134308102,0.498866494,3.49226357
Short Sell,2024-06-07 12:30:00-04:00,646.2000122,158,-300.1942139,102099.6019,459.0579224,Sell Hold,102258.4656,12,17,-0.293158996,0.498866494,3.49226357,,,-0.293158996,0.498866494,3.49226357
Short Sell,2024-06-07 13:30:00-04:00,642.3599854,159,35.63574219,102135.2377,123.2279663,Sell Hold,102294.1014,12,17,0.03490292,0.498866494,3.49226357,,,0.03490292,0.498866494,3.49226357
Buy,2024-06-07 14:30:00-04:00,642.2000122,159,0,102109.8019,184.2994385,Buy,102268.6656,12,17,,0.498866494,3.49226357,714.7686136,0.7,,0.498866494,3.49226357
Buy Hold,2024-06-07 14:30:00-04:00,642.2000122,159,0,102109.8019,184.2994385,Buy Hold,102268.6656,12,17,0,0.498866494,3.49226357,,,0,0.498866494,3.49226357
Buy Hold,2024-06-07 15:30:00-04:00,641.6300049,159,-90.63116455,102019.1708,184.2994385,Buy Hold,102178.0345,12,17,-0.088758535,0.498866494,3.49226357,,,-0.088758535,0.498866494,3.49226357
Buy Hold,2024-06-10 09:30:00-04:00,638.5,159,-497.6707764,101521.5,184.2994385,Buy Hold,101680.3637,12,17,-0.487820841,0.498866494,3.49226357,,,-0.487820841,0.498866494,3.49226357
Buy Hold,2024-06-10 10:30:00-04:00,641.0650024,159,407.8353882,101929.3354,184.2994385,Buy Hold,102088.1991,12,17,0.40172317,0.498866494,3.49226357,,,0.40172317,0.498866494,3.49226357
Buy Hold,2024-06-10 11:30:00-04:00,641.8499756,159,124.81073,102054.1461,184.2994385,Buy Hold,102213.0098,12,17,0.122448292,0.498866494,3.49226357,,,0.122448292,0.498866494,3.49226357
Buy Hold,2024-06-10 12:30:00-04:00,639.3649902,159,-395.1126709,101659.0334,184.2994385,Buy Hold,101817.8972,12,17,-0.387159842,0.498866494,3.49226357,,,-0.387159842,0.498866494,3.49226357
Buy Hold,2024-06-10 13:30:00-04:00,641.5100098,159,341.0581055,102000.0916,184.2994385,Buy Hold,102158.9553,12,17,0.335492178,0.498866494,3.49226357,,,0.335492178,0.498866494,3.49226357
Buy Hold,2024-06-10 14:30:00-04:00,644.3300171,159,448.3811646,102448.4727,184.2994385,Buy Hold,102607.3364,12,17,0.439588982,0.498866494,3.49226357,,,0.439588982,0.498866494,3.49226357
Buy Hold,2024-06-10 15:30:00-04:00,644.6500244,159,50.88116455,102499.3539,184.2994385,Buy Hold,102658.2176,12,17,0.049665127,0.498866494,3.49226357,,,0.049665127,0.498866494,3.49226357
Buy Hold,2024-06-11 09:30:00-04:00,644.4899902,159,-25.44543457,102473.9084,184.2994385,Buy Hold,102632.7722,12,17,-0.024824971,0.498866494,3.49226357,,,-0.024824971,0.498866494,3.49226357
Buy Hold,2024-06-11 10:30:00-04:00,644.7849731,159,46.90228271,102520.8107,184.2994385,Buy Hold,102679.6744,12,17,0.045769975,0.498866494,3.49226357,,,0.045769975,0.498866494,3.49226357
Buy Hold,2024-06-11 11:30:00-04:00,642.3850098,159,-381.5941772,102139.2166,184.2994385,Buy Hold,102298.0803,12,17,-0.372211432,0.498866494,3.49226357,,,-0.372211432,0.498866494,3.49226357
Buy Hold,2024-06-11 12:30:00-04:00,643.2399902,159,135.9418945,102275.1584,184.2994385,Buy Hold,102434.0222,12,17,0.13309471,0.498866494,3.49226357,,,0.13309471,0.498866494,3.49226357
Buy Hold,2024-06-11 13:30:00-04:00,647.085022,79,51155.44171,51119.71674,51951.1012,Buy Hold,103070.8179,12,17,0.597760058,0.498866494,3.49226357,,,-50.01746513,0.498866494,3.49226357
Buy Hold,2024-06-11 14:30:00-04:00,647.7199707,79,50.16094971,51169.87769,184.2994385,Buy Hold,103120.9789,12,17,101.4633138,0.498866494,3.49226357,,,0.098124467,0.498866494,3.49226357
Sell,2024-06-11 14:30:00-04:00,647.7199707,0,0,0,102762.7897,Sell Hold,103120.9789,12,17,,0.498866494,3.49226357,358.1891438,0.7,,0.498866494,3.49226357
Short Sell,2024-06-11 14:30:00-04:00,647.7199707,159,0,102987.4753,57.90686035,Sell Hold,103045.3822,12,17,0,0.498866494,3.49226357,,,0,0.498866494,3.49226357
Short Sell,2024-06-11 15:30:00-04:00,648.5599976,158,-514.9957275,102472.4796,572.9025879,Sell Hold,102530.3865,12,17,-0.500056658,0.498866494,3.49226357,,,-0.500056658,0.498866494,3.49226357
Short Sell,2024-06-12 09:30:00-04:00,654.0999756,156,-432.8834229,102039.5962,490.7902832,Sell Hold,102097.5031,12,17,-0.422438712,0.498866494,3.49226357,,,-0.422438712,0.498866494,3.49226357
Short Sell,2024-06-12 10:30:00-04:00,650.8775024,156,-502.7058105,101536.8904,560.6126709,Sell Hold,101594.7972,12,17,-0.492657585,0.498866494,3.49226357,,,-0.492657585,0.498866494,3.49226357
Short Sell,2024-06-12 11:30:00-04:00,648.0999756,156,-433.2941895,101103.5962,491.2010498,Sell Hold,101161.5031,12,17,-0.426735729,0.498866494,3.49226357,,,-0.426735729,0.498866494,3.49226357
Short Sell,2024-06-12 12:30:00-04:00,647.3308716,156,-119.9802246,100983.616,177.887085,Sell Hold,101041.5228,12,17,-0.118670581,0.498866494,3.49226357,,,-0.118670581,0.498866494,3.49226357
Short Sell,2024-06-12 13:30:00-04:00,645.8699951,156,-227.8967285,100755.7192,285.8035889,Sell Hold,100813.6261,12,17,-0.225676934,0.498866494,3.49226357,,,-0.225676934,0.498866494,3.49226357
Short Sell,2024-06-12 14:30:00-04:00,647.5900269,155,-379.2650757,100376.4542,437.171936,Sell Hold,100434.361,12,17,-0.376420394,0.498866494,3.49226357,,,-0.376420394,0.498866494,3.49226357
Short Sell,2024-06-12 15:30:00-04:00,649.75,154,-314.9541626,100061.5,372.8610229,Sell Hold,100119.4069,12,17,-0.313772951,0.498866494,3.49226357,,,-0.313772951,0.498866494,3.49226357
Short Sell,2024-06-13 09:30:00-04:00,647.7849731,154,-302.6141357,99758.88586,360.5209961,Sell Hold,99816.79272,12,17,-0.302428142,0.498866494,3.49226357,,,-0.302428142,0.498866494,3.49226357
