Signal,Date,Close Price,Shares Bought,Profit/Loss,Investment,Remaining Cash,Hold,Total Cash,SMA1,SMA2,Charge,% Diff,High Avg %,Low Avg %
Buy Hold,2024-03-26 09:15:00+05:30,1498.5,5,-65,7492.5,31.16003418,Buy Hold,15278.74154,12,17,,98.27985445,0.366211997,23.23599605
Buy Hold,2024-03-26 10:15:00+05:30,1496,5,-12.5,7480,31.16003418,Buy Hold,15266.24154,12,17,,99.666333,0.366211997,23.23599605
Buy Hold,2024-03-26 11:15:00+05:30,1492,5,-20,7460,31.16003418,Buy Hold,15246.24154,12,17,,99.46524064,0.366211997,23.23599605
Buy Hold,2024-03-26 12:15:00+05:30,1497.050049,5,25.25024414,7485.250244,31.16003418,Buy Hold,15271.49179,12,17,,100.6769502,0.366211997,23.23599605
Buy Hold,2024-03-26 13:15:00+05:30,1493.400024,5,-18.25012207,7467.000122,31.16003418,Buy Hold,15253.24166,12,17,,99.51237109,0.366211997,23.23599605
Buy Hold,2024-03-26 14:15:00+05:30,1494,5,2.99987793,7470,31.16003418,Buy Hold,15256.24154,12,17,,100.0803503,0.366211997,23.23599605
Buy Hold,2024-03-26 15:15:00+05:30,1493.150024,5,-4.24987793,7465.750122,31.16003418,Buy Hold,15251.99166,12,17,,99.88621478,0.366211997,23.23599605
Buy Hold,2024-03-27 09:15:00+05:30,1494.400024,5,6.25,7472.000122,31.16003418,Buy Hold,15258.24166,12,17,,100.1674313,0.366211997,23.23599605
Buy Hold,2024-03-27 10:15:00+05:30,1496.300049,5,9.50012207,7481.500244,31.16003418,Buy Hold,15267.74179,12,17,,100.2542859,0.366211997,23.23599605
Buy Hold,2024-03-27 11:15:00+05:30,1492.699951,5,-18.00048828,7463.499756,31.16003418,Buy Hold,15249.7413,12,17,,99.51880003,0.366211997,23.23599605
Buy Hold,2024-03-27 12:15:00+05:30,1493,5,1.500244141,7465,31.16003418,Buy Hold,15251.24154,12,17,,100.0402022,0.366211997,23.23599605
Buy Hold,2024-03-27 13:15:00+05:30,1493.099976,5,0.49987793,7465.499878,31.16003418,Buy Hold,15251.74142,12,17,,100.0133926,0.366211997,23.23599605
Buy Hold,2024-03-27 14:15:00+05:30,1483.550049,5,-47.74963379,7417.750244,31.16003418,Buy Hold,15203.99179,12,17,,98.72079205,0.366211997,23.23599605
Buy Hold,2024-03-27 15:15:00+05:30,1483.849976,5,1.499633789,7419.249878,31.16003418,Buy Hold,15205.49142,12,17,,100.0404337,0.366211997,23.23599605
Buy Hold,2024-03-28 09:15:00+05:30,1504.5,5,103.2501221,7522.5,31.16003418,Buy Hold,15308.74154,12,17,,102.7833035,0.366211997,23.23599605
Buy Hold,2024-03-28 10:15:00+05:30,1505.900024,5,7.00012207,7529.500122,31.16003418,Buy Hold,15315.74166,12,17,,100.1861116,0.366211997,23.23599605
Buy Hold,2024-03-28 11:15:00+05:30,1504.349976,5,-7.750244141,7521.749878,31.16003418,Buy Hold,15307.99142,12,17,,99.79413656,0.366211997,23.23599605
Buy Hold,2024-03-28 12:15:00+05:30,1507.949951,5,17.99987793,7539.749756,31.16003418,Buy Hold,15325.9913,12,17,,100.4786088,0.366211997,23.23599605
Sell,2024-03-28 12:15:00+05:30,1507.949951,0,0,0,15273.21305,Sell Hold,15325.9913,12,17,52.77824829,,0.366211997,23.23599605
Short Sell,2024-03-28 12:15:00+05:30,1507.949951,9,0,13571.54956,1473.610718,Sell Hold,15045.16028,12,17,,0,0.366211997,23.23599605
Short Sell,2024-03-28 13:15:00+05:30,1504.949951,9,-27,13544.54956,1500.610718,Sell Hold,15018.16028,12,17,,-0.198945595,0.366211997,23.23599605
Short Sell,2024-03-28 14:15:00+05:30,1490.25,10,1357.950439,14902.5,115.6602783,Sell Hold,16376.11072,12,17,,10.02580731,0.366211997,23.23599605
Short Sell,2024-03-28 15:15:00+05:30,1495.25,10,50,14952.5,1423.610718,Sell Hold,16426.11072,12,17,,0.335514175,0.366211997,23.23599605
Short Sell,2024-04-01 09:15:00+05:30,1509.050049,10,138.0004883,15090.50049,1335.610229,Sell Hold,16564.11121,12,17,,0.922925854,0.366211997,23.23599605
Short Sell,2024-04-01 10:15:00+05:30,1501.599976,11,1427.099243,16517.59973,46.51147461,Sell Hold,17991.21045,12,17,,9.456937789,0.366211997,23.23599605
Short Sell,2024-04-01 11:15:00+05:30,1500.099976,11,-16.5,16501.09973,1490.110718,Sell Hold,17974.71045,12,17,,-0.099893449,0.366211997,23.23599605
Short Sell,2024-04-01 12:15:00+05:30,1500.150024,11,0.550537109,16501.65027,1473.060181,Sell Hold,17975.26099,12,17,,0.003336366,0.366211997,23.23599605
Short Sell,2024-04-01 13:15:00+05:30,1501.050049,11,9.900268555,16511.55054,1463.710449,Sell Hold,17985.16125,12,17,,0.059995627,0.366211997,23.23599605
Short Sell,2024-04-01 14:15:00+05:30,1495.099976,12,1429.64917,17941.19971,43.96154785,Sell Hold,19414.81042,12,17,,8.658479206,0.366211997,23.23599605
Short Sell,2024-04-01 15:15:00+05:30,1497.5,12,28.80029297,17970,1444.810425,Sell Hold,19443.61072,12,17,,0.160526015,0.366211997,23.23599605
Short Sell,2024-04-02 09:15:00+05:30,1487.949951,13,1373.349365,19343.34937,100.2613525,Sell Hold,20816.96008,12,17,,7.642456123,0.366211997,23.23599605
Buy,2024-04-02 10:15:00+05:30,1486.900024,14,0,20816.60034,0.359741211,Buy,22290.21106,12,17,145.7162024,,0.366211997,23.23599605
Buy Hold,2024-04-02 10:15:00+05:30,1486.900024,14,0,20816.60034,0.359741211,Buy Hold,22290.21106,12,17,,0,0.366211997,23.23599605
Buy Hold,2024-04-02 11:15:00+05:30,1484.400024,14,-35,20781.60034,0.359741211,Buy Hold,22255.21106,12,17,,-0.168135043,0.366211997,23.23599605
Buy Hold,2024-04-02 12:15:00+05:30,1483,14,-19.6003418,20762,0.359741211,Buy Hold,22235.61072,12,17,,-0.094315844,0.366211997,23.23599605
Buy Hold,2024-04-02 13:15:00+05:30,1482.150024,14,-11.8996582,20750.10034,0.359741211,Buy Hold,22223.71106,12,17,,-0.057314605,0.366211997,23.23599605
Buy Hold,2024-04-02 14:15:00+05:30,1483.050049,14,12.6003418,20762.70068,0.359741211,Buy Hold,22236.3114,12,17,,0.060724245,0.366211997,23.23599605
Buy Hold,2024-04-02 15:15:00+05:30,1482.849976,14,-2.801025391,20759.89966,0.359741211,Buy Hold,22233.51038,12,17,,-0.01349066,0.366211997,23.23599605
Buy Hold,2024-04-03 09:15:00+05:30,1485.849976,14,42,20801.89966,0.359741211,Buy Hold,22275.51038,12,17,,0.202313117,0.366211997,23.23599605
Buy Hold,2024-04-03 10:15:00+05:30,1490.25,14,61.6003418,20863.5,0.359741211,Buy Hold,22337.11072,12,17,,0.296128444,0.366211997,23.23599605
Buy Hold,2024-04-03 11:15:00+05:30,1487,14,-45.5,20818,0.359741211,Buy Hold,22291.61072,12,17,,-0.218084214,0.366211997,23.23599605
Buy Hold,2024-04-03 12:15:00+05:30,1488,14,14,20832,0.359741211,Buy Hold,22305.61072,12,17,,0.067249496,0.366211997,23.23599605
Buy Hold,2024-04-03 13:15:00+05:30,1490.599976,14,36.3996582,20868.39966,0.359741211,Buy Hold,22342.01038,12,17,,0.174729542,0.366211997,23.23599605
Buy Hold,2024-04-03 14:15:00+05:30,1481.5,14,-127.3996582,20741,0.359741211,Buy Hold,22214.61072,12,17,,-0.610490791,0.366211997,23.23599605
Buy Hold,2024-04-03 15:15:00+05:30,1481,14,-7,20734,0.359741211,Buy Hold,22207.61072,12,17,,-0.033749578,0.366211997,23.23599605
Buy Hold,2024-04-04 09:15:00+05:30,1471.400024,14,-134.3996582,20599.60034,0.359741211,Buy Hold,22073.21106,12,17,,-0.64820902,0.366211997,23.23599605
Buy Hold,2024-04-04 10:15:00+05:30,1478.5,7,10250.10034,10349.5,10277.41324,Buy Hold,20626.91324,12,17,72.4465,0.482531974,0.366211997,23.23599605
Buy Hold,2024-04-04 11:15:00+05:30,1478,7,-3.5,10346,0.359741211,Buy Hold,20623.41324,12,17,,99.93236388,0.366211997,23.23599605
Buy Hold,2024-04-04 12:15:00+05:30,1484.550049,7,45.8503418,10391.85034,0.359741211,Buy Hold,20669.26358,12,17,,100.8863395,0.366211997,23.23599605
Buy Hold,2024-04-04 13:15:00+05:30,1487.900024,7,23.4498291,10415.30017,0.359741211,Buy Hold,20692.71341,12,17,,100.4513119,0.366211997,23.23599605
Sell,2024-04-04 13:15:00+05:30,1487.900024,0,0,0,20619.80631,Sell Hold,20692.71341,12,17,72.9071012,,0.366211997,23.23599605
Short Sell,2024-04-04 13:15:00+05:30,1487.900024,14,0,20830.60034,1426.71106,Sell Hold,22257.3114,12,17,,0,0.366211997,23.23599605
Short Sell,2024-04-04 14:15:00+05:30,1485.5,14,-33.6003418,20797,1460.311401,Sell Hold,22223.71106,12,17,,-0.161302801,0.366211997,23.23599605
Buy,2024-04-04 15:15:00+05:30,1489,14,0,20846,1377.71106,Buy,22272.71106,12,17,145.922,,0.366211997,23.23599605
Buy Hold,2024-04-04 15:15:00+05:30,1489,14,0,20846,1377.71106,Buy Hold,22272.71106,12,17,,0,0.366211997,23.23599605
Buy Hold,2024-04-05 09:15:00+05:30,1484.400024,14,-64.3996582,20781.60034,1377.71106,Buy Hold,22208.3114,12,17,,-0.30893053,0.366211997,23.23599605
Buy Hold,2024-04-05 10:15:00+05:30,1483.949951,14,-6.301025391,20775.29932,1377.71106,Buy Hold,22202.01038,12,17,,-0.030320213,0.366211997,23.23599605
Buy Hold,2024-04-05 11:15:00+05:30,1481.300049,14,-37.09863281,20738.20068,1377.71106,Buy Hold,22164.91174,12,17,,-0.17857087,0.366211997,23.23599605
Buy Hold,2024-04-05 12:15:00+05:30,1480.300049,14,-14,20724.20068,1377.71106,Buy Hold,22150.91174,12,17,,-0.067508268,0.366211997,23.23599605
Buy Hold,2024-04-05 13:15:00+05:30,1480.050049,14,-3.5,20720.70068,1377.71106,Buy Hold,22147.41174,12,17,,-0.016888468,0.366211997,23.23599605
Buy Hold,2024-04-05 14:15:00+05:30,1479,14,-14.70068359,20706,1377.71106,Buy Hold,22132.71106,12,17,,-0.070946846,0.366211997,23.23599605
Sell,2024-04-05 14:15:00+05:30,1479,0,0,0,21987.76906,Sell Hold,22132.71106,12,17,144.942,,0.366211997,23.23599605
Short Sell,2024-04-05 14:15:00+05:30,1479,14,0,20706,1441.411743,Sell Hold,22147.41174,12,17,,0,0.366211997,23.23599605
Short Sell,2024-04-05 15:15:00+05:30,1480.449951,14,20.29931641,20726.29932,1421.112427,Sell Hold,22167.71106,12,17,,0.098035914,0.366211997,23.23599605
Short Sell,2024-04-08 09:15:00+05:30,1483.5,14,42.70068359,20769,1398.71106,Sell Hold,22210.41174,12,17,,0.206021745,0.366211997,23.23599605
Short Sell,2024-04-08 10:15:00+05:30,1481,14,-35,20734,1476.411743,Sell Hold,22175.41174,12,17,,-0.168520391,0.366211997,23.23599605
Short Sell,2024-04-08 11:15:00+05:30,1482.25,14,17.5,20751.5,1423.911743,Sell Hold,22192.91174,12,17,,0.084402431,0.366211997,23.23599605
Buy,2024-04-08 12:15:00+05:30,1479.300049,15,0,22189.50073,3.411010742,Buy,23630.91248,12,17,155.3265051,,0.366211997,23.23599605
Buy Hold,2024-04-08 12:15:00+05:30,1479.300049,15,0,22189.50073,3.411010742,Buy Hold,23630.91248,12,17,,0,0.366211997,23.23599605
Buy Hold,2024-04-08 13:15:00+05:30,1479,15,-4.500732422,22185,3.411010742,Buy Hold,23626.41174,12,17,,-0.020283162,0.366211997,23.23599605
Buy Hold,2024-04-08 14:15:00+05:30,1477.849976,15,-17.25036621,22167.74963,3.411010742,Buy Hold,23609.16138,12,17,,-0.077756891,0.366211997,23.23599605
Buy Hold,2024-04-08 15:15:00+05:30,1476.699951,15,-17.25036621,22150.49927,3.411010742,Buy Hold,23591.91101,12,17,,-0.077817399,0.366211997,23.23599605
Buy Hold,2024-04-09 09:15:00+05:30,1507.300049,7,11599.39893,10551.10034,11987.9537,Buy Hold,22539.05404,12,17,73.85770239,2.072194668,0.366211997,23.23599605
Buy Hold,2024-04-09 10:15:00+05:30,1509.599976,7,16.0994873,10567.19983,3.411010742,Buy Hold,22555.15353,12,17,,114.612684,0.366211997,23.23599605
Sell,2024-04-09 10:15:00+05:30,1509.599976,0,0,0,22481.18313,Sell Hold,22555.15353,12,17,73.9703988,,0.366211997,23.23599605
Short Sell,2024-04-09 10:15:00+05:30,1509.599976,15,0,22643.99963,1406.912842,Sell Hold,24050.91248,12,17,,0,0.366211997,23.23599605
Short Sell,2024-04-09 11:15:00+05:30,1502.599976,16,1397.599976,24041.59961,9.312866211,Sell Hold,25448.51245,12,17,,6.172054399,0.366211997,23.23599605
Short Sell,2024-04-09 12:15:00+05:30,1497.050049,16,-88.79882813,23952.80078,1495.71167,Sell Hold,25359.71362,12,17,,-0.369354908,0.366211997,23.23599605
Short Sell,2024-04-09 13:15:00+05:30,1497.199951,16,2.3984375,23955.19922,1404.514404,Sell Hold,25362.11206,12,17,,0.010013182,0.366211997,23.23599605
Short Sell,2024-04-09 14:15:00+05:30,1493.400024,16,-60.79882813,23894.40039,1467.71167,Sell Hold,25301.31323,12,17,,-0.253802223,0.366211997,23.23599605
Short Sell,2024-04-09 15:15:00+05:30,1497.25,16,61.59960938,23956,1345.313232,Sell Hold,25362.91284,12,17,,0.257799352,0.366211997,23.23599605
Short Sell,2024-04-10 09:15:00+05:30,1487.550049,17,1332.35083,25288.35083,74.56201172,Sell Hold,26695.26367,12,17,,5.561658165,0.366211997,23.23599605
Short Sell,2024-04-10 10:15:00+05:30,1499.300049,17,199.75,25488.10083,1207.162842,Sell Hold,26895.01367,12,17,,0.78988939,0.366211997,23.23599605
Short Sell,2024-04-10 11:15:00+05:30,1498.650024,17,-11.05041504,25477.05042,1417.963257,Sell Hold,26883.96326,12,17,,-0.043355192,0.366211997,23.23599605
Short Sell,2024-04-10 12:15:00+05:30,1504.599976,17,101.1491699,25578.19958,1305.763672,Sell Hold,26985.11243,12,17,,0.397020724,0.366211997,23.23599605
Short Sell,2024-04-10 13:15:00+05:30,1506.400024,17,30.60083008,25608.80042,1376.312012,Sell Hold,27015.71326,12,17,,0.119636372,0.366211997,23.23599605
Short Sell,2024-04-10 14:15:00+05:30,1506.050049,17,-5.949584961,25602.85083,1412.862427,Sell Hold,27009.76367,12,17,,-0.02323258,0.366211997,23.23599605
Short Sell,2024-04-10 15:15:00+05:30,1506.800049,17,12.75,25615.60083,1394.162842,Sell Hold,27022.51367,12,17,,0.049799142,0.366211997,23.23599605
Short Sell,2024-04-12 09:15:00+05:30,1497.25,18,1334.89917,26950.5,72.01367188,Sell Hold,28357.41284,12,17,,5.211274093,0.366211997,23.23599605
Short Sell,2024-04-12 10:15:00+05:30,1500,18,49.5,27000,1357.412842,Sell Hold,28406.91284,12,17,,0.183670062,0.366211997,23.23599605
Buy,2024-04-12 11:15:00+05:30,1498.449951,18,0,26972.09912,1434.813721,Buy,28379.01196,12,17,188.8046938,,0.366211997,23.23599605
Buy Hold,2024-04-12 11:15:00+05:30,1498.449951,18,0,26972.09912,1434.813721,Buy Hold,28379.01196,12,17,,0,0.366211997,23.23599605
Buy Hold,2024-04-12 12:15:00+05:30,1485.75,18,-228.5991211,26743.5,1434.813721,Buy Hold,28150.41284,12,17,,-0.84753923,0.366211997,23.23599605
Buy Hold,2024-04-12 13:15:00+05:30,1487.849976,18,37.79956055,26781.29956,1434.813721,Buy Hold,28188.2124,12,17,,0.141341113,0.366211997,23.23599605
Sell,2024-04-12 13:15:00+05:30,1487.849976,0,0,0,28000.74331,Sell Hold,28188.2124,12,17,187.4690969,,0.366211997,23.23599605
Short Sell,2024-04-12 13:15:00+05:30,1487.849976,18,0,26781.29956,1369.113281,Sell Hold,28150.41284,12,17,,0,0.366211997,23.23599605
Short Sell,2024-04-12 14:15:00+05:30,1485.650024,18,-39.59912109,26741.70044,1408.712402,Sell Hold,28110.81372,12,17,,-0.147861089,0.366211997,23.23599605
Short Sell,2024-04-12 15:15:00+05:30,1484.75,18,-16.20043945,26725.5,1385.313721,Sell Hold,28094.61328,12,17,,-0.060581187,0.366211997,23.23599605
Buy,2024-04-15 09:15:00+05:30,1475.349976,19,0,28031.64954,62.96374512,Buy,29400.76282,12,17,196.2215468,,0.366211997,23.23599605
Buy Hold,2024-04-15 09:15:00+05:30,1475.349976,19,0,28031.64954,62.96374512,Buy Hold,29400.76282,12,17,,0,0.366211997,23.23599605
Buy Hold,2024-04-15 10:15:00+05:30,1466.050049,19,-176.6986084,27854.95093,62.96374512,Buy Hold,29224.06421,12,17,,-0.630353944,0.366211997,23.23599605
Buy Hold,2024-04-15 11:15:00+05:30,1468.5,19,46.54907227,27901.5,62.96374512,Buy Hold,29270.61328,12,17,,0.167112383,0.366211997,23.23599605
Buy Hold,2024-04-15 12:15:00+05:30,1462.5,19,-114,27787.5,62.96374512,Buy Hold,29156.61328,12,17,,-0.408580184,0.366211997,23.23599605
Buy Hold,2024-04-15 13:15:00+05:30,1465.449951,19,56.04907227,27843.54907,62.96374512,Buy Hold,29212.66235,12,17,,0.201706063,0.366211997,23.23599605
Buy Hold,2024-04-15 14:15:00+05:30,1467.849976,19,45.60046387,27889.14954,62.96374512,Buy Hold,29258.26282,12,17,,0.163773892,0.366211997,23.23599605
Buy Hold,2024-04-15 15:15:00+05:30,1467.199951,19,-12.35046387,27876.79907,62.96374512,Buy Hold,29245.91235,12,17,,-0.044284118,0.366211997,23.23599605
Buy Hold,2024-04-16 09:15:00+05:30,1448.75,19,-350.5490723,27526.25,62.96374512,Buy Hold,28895.36328,12,17,,-1.257493988,0.366211997,23.23599605
Buy Hold,2024-04-16 10:15:00+05:30,1436,19,-242.25,27284,62.96374512,Buy Hold,28653.11328,12,17,,-0.880069025,0.366211997,23.23599605
Buy Hold,2024-04-16 11:15:00+05:30,1431.949951,19,-76.95092773,27207.04907,62.96374512,Buy Hold,28576.16235,12,17,,-0.282036826,0.366211997,23.23599605
Buy Hold,2024-04-16 12:15:00+05:30,1422.349976,19,-182.3995361,27024.64954,62.96374512,Buy Hold,28393.76282,12,17,,-0.670412788,0.366211997,23.23599605
Buy Hold,2024-04-16 13:15:00+05:30,1419.349976,19,-57,26967.64954,62.96374512,Buy Hold,28336.76282,12,17,,-0.210918554,0.366211997,23.23599605
Buy Hold,2024-04-16 14:15:00+05:30,1413.800049,19,-105.4486084,26862.20093,62.96374512,Buy Hold,28231.31421,12,17,,-0.391018907,0.366211997,23.23599605
